0 0 0 0 0.0179855 0.0096405 0.9982662 -0.05521 0.0065146 0.767691 0.639654 -0.0380894 -0.0175243 0.7410396 -0.6678023 0.0677737 0.0188454 0.0188585 0.9989461 -0.0373629 0.0118434 0.8243765 0.1358992 0.5493584 -0.2167517 0.9179421 -0.1036924 -0.3156723 -0.2492229 0.6716071 -0.4110326 0.5638119 -0.414524 0.7418663 0.526458 -0.0254185 -0.1529774 0.6472261 -0.5639452 0.489553 -0.4935321 -0.2686771 0.3772196 0.7361686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1111092 0.6722208 0.7221209 -0.1196473 0.1311636 -0.6249487 0.7558771 -0.1445166 0.0225559 0.0217673 0.9993128 -0.0197819  ||| 0.1539 -0.18305 2.22213 0.13403 -0.32751 2.253 0.29279 -0.41665 2.25328 -0.01821 -0.4035 2.24177 0.13276 -0.38707 2.25959 0.34171 -0.63978 2.29241 -0.08332 -0.57951 2.17562 0.28932 -0.74373 2.13815 0.0989 -0.60396 2.02176 0.24129 -0.76998 2.07605 0.10619 -0.60714 2.03318 0.28685 -0.77938 2.05069 0.10507 -0.66586 2.06394 0.20114 -0.7997 2.01089 0.1606 -0.62599 2.01161 0.18504 -0.80306 2.25834 0.04243 -0.79391 2.25165 0.11498 -0.80808 2.28224 0.21279 -0.84119 1.9035 0.11704 -0.82337 1.90259 
0 0 0 0 0.0496106 0.0064607 0.9975355 -0.0491914 -0.01238 0.7850654 0.6182641 -0.0356156 0.0722286 -0.6479608 0.7475208 -0.1270527 0.0503127 0.0151613 0.9980667 -0.0331929 0.0353909 0.8039647 0.1483528 0.5747867 -0.5067841 0.8105664 0.1320011 -0.2621596 -0.2355385 0.6393672 -0.3940314 0.616823 0.8815033 -0.0236898 0.0641638 -0.4671979 0.1705891 -0.4879234 0.6839348 -0.5148429 0.737461 -0.0701327 0.0635125 -0.6687293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.118653 0.6901287 0.7016765 -0.1315064 0.1308416 -0.6174863 0.762176 -0.1438013 0.0130875 0.0241028 0.9994197 -0.0201964  ||| 0.1539 -0.18526 2.22387 0.13146 -0.32529 2.2585 0.29383 -0.42523 2.25371 -0.0076 -0.36701 2.22324 0.13038 -0.3856 2.26441 0.33991 -0.64729 2.30668 -0.01851 -0.46229 2.03526 0.29488 -0.76944 2.14045 0.16532 -0.33632 2.01247 0.26213 -0.76986 2.08247 0.18815 -0.33408 2.00808 0.30093 -0.79696 2.06579 0.22934 -0.31779 2.045 0.24948 -0.77414 2.03716 0.22543 -0.31475 2.03748 0.1834 -0.80642 2.2594 0.04 -0.79165 2.25518 0.11253 -0.80739 2.28574 0.21197 -0.84042 1.90398 0.11565 -0.82336 1.90142 
0 0 0 0 0.044867 0.0073809 0.9977359 -0.0495536 7.89E-05 0.7904733 0.6121523 -0.0205302 0.0561399 -0.6612577 0.7413226 -0.1001374 0.0452132 0.00933 0.9985274 -0.0284905 0.0495805 0.8395324 0.1440126 0.5215241 -0.5561695 0.7444876 0.2066157 -0.3061431 -0.3609518 0.7792431 -0.3964556 0.3245257 0.9142973 -0.068314 -0.0981306 -0.3869935 -0.333816 0.7808097 -0.4375719 0.2956924 0.7096234 -0.2259292 -0.1020633 -0.6595255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1001264 0.6878302 0.7111353 -0.1055975 0.1563152 -0.6164321 0.7579278 -0.1453362 0.044877 0.0084593 0.998912 -0.009447  ||| 0.1541 -0.18502 2.22428 0.1421 -0.32589 2.25311 0.29359 -0.42566 2.25512 -0.00277 -0.37051 2.22604 0.14094 -0.38614 2.25906 0.33729 -0.64485 2.30878 -0.00978 -0.43352 2.02279 0.24028 -0.75234 2.10144 0.12688 -0.30253 2.01351 0.20479 -0.78113 2.04447 0.14174 -0.30211 2.01069 0.2386 -0.76763 2.00313 0.13454 -0.28335 2.06925 0.15228 -0.79588 1.96451 0.20414 -0.26236 2.02906 0.20246 -0.80834 2.25268 0.05931 -0.79429 2.23952 0.13277 -0.81063 2.27365 0.21196 -0.84086 1.89608 0.11816 -0.82516 1.88769 
0 0 0 0 0.0451631 0.0370415 0.9966998 -0.0563715 -0.0003136 0.7865343 0.6169086 -0.0280624 0.0560774 -0.6906115 0.713199 -0.1061053 0.0456274 0.0308161 0.9979532 -0.0325263 0.041417 0.7993501 0.133736 0.5843275 0.6626984 -0.6319518 -0.276748 0.2913389 -0.2633393 0.6265646 -0.4349919 0.5906363 0.8539382 -0.1007446 -0.3685724 -0.3532625 -0.1447361 0.6313136 -0.5575509 0.5192606 0.7529503 0.1266852 -0.40412 -0.5036901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0685611 0.6931624 0.7122135 -0.0870467 0.1537169 -0.6105244 0.7590458 -0.1657719 0.0709823 0.0256664 0.9968913 -0.022597  ||| 0.15502 -0.17849 2.22086 0.15553 -0.33061 2.25406 0.29685 -0.42586 2.2553 0.00556 -0.38639 2.22643 0.15081 -0.38991 2.26058 0.3343 -0.64344 2.30568 -0.00217 -0.37969 2.01405 0.28898 -0.73695 2.14227 0.12531 -0.24233 2.03067 0.24064 -0.76632 2.07576 0.16375 -0.21535 2.06569 0.28561 -0.77864 2.05946 0.13909 -0.19123 2.10888 0.2051 -0.7959 2.00762 0.20874 -0.199 2.08916 0.19751 -0.81003 2.26577 0.05095 -0.79469 2.24419 0.12598 -0.81178 2.28183 0.2114 -0.83736 1.90793 0.1168 -0.82426 1.89352 
0 0 0 0 0.0499697 0.031956 0.9967654 -0.0542267 0.0020312 0.7848223 0.6192912 -0.0229851 0.0605806 -0.6987433 0.7046161 -0.1077218 0.0506906 0.0305294 0.9977796 -0.0305655 0.0414396 0.8360243 0.1253587 0.5325705 0.6879206 -0.6042669 -0.2855729 0.2829751 -0.3764986 0.7870663 -0.3785636 0.3089741 0.9249694 0.0930344 0.0885138 -0.3576891 -0.3399059 0.7934934 -0.4217094 0.2774768 0.8815583 0.3473515 -0.024734 -0.3187318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0695571 0.6891552 0.7166511 -0.0814751 0.1596918 -0.614419 0.7538279 -0.1695029 0.0769436 0.0283537 0.9964489 -0.019114  ||| 0.15492 -0.17822 2.22073 0.15923 -0.3323 2.25522 0.29534 -0.42539 2.25786 0.0077 -0.39174 2.22564 0.15508 -0.39179 2.26151 0.33299 -0.64498 2.304 -0.00174 -0.36834 2.01359 0.24225 -0.75235 2.09753 0.12569 -0.23178 2.03403 0.20516 -0.78424 2.03784 0.15344 -0.20348 2.06602 0.23902 -0.76998 1.99865 0.15095 -0.2503 2.1085 0.15095 -0.79778 1.96019 0.19524 -0.17751 2.09185 0.20045 -0.81055 2.26458 0.05462 -0.79722 2.24152 0.12913 -0.81324 2.28011 0.21138 -0.83742 1.90741 0.11726 -0.82453 1.89 
0 0 0 0 0.0306239 0.0336825 0.9976374 -0.0514519 -0.0011865 0.7823904 0.6221315 -0.0285724 0.0394309 -0.6475223 0.7563108 -0.0845823 0.0313032 0.0318917 0.9985918 -0.0285885 0.0466087 0.8346888 0.1204616 0.5353609 0.6540542 -0.6337197 -0.3053514 0.27816 -0.3747225 0.7847312 -0.3807527 0.3143364 0.9301703 0.1015675 0.0842418 -0.342594 -0.3418178 0.7881438 -0.4272797 0.281819 0.8647295 0.4048926 -0.0464115 -0.2935143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0697795 0.693397 0.7130236 -0.0769984 0.1677496 -0.6084472 0.7568783 -0.1696685 0.0821376 0.0284087 0.9961021 -0.0150656  ||| 0.15476 -0.1785 2.22118 0.1603 -0.33307 2.25587 0.29816 -0.42523 2.25641 -0.00673 -0.36764 2.23191 0.1561 -0.39226 2.26187 0.33261 -0.6455 2.30353 -0.00162 -0.35836 2.01161 0.24269 -0.75212 2.09798 0.12121 -0.21861 2.03624 0.20528 -0.78334 2.03732 0.14177 -0.19675 2.06807 0.24034 -0.7687 2.00104 0.14402 -0.23878 2.10976 0.15325 -0.79888 1.96185 0.18708 -0.17222 2.08808 0.20102 -0.80937 2.26288 0.0562 -0.79402 2.23842 0.13013 -0.8113 2.27786 0.2114 -0.83744 1.90581 0.11708 -0.82505 1.88697 
0 0 0 0 0.0432299 0.0330135 0.9971771 -0.0517622 0.0097894 0.77855 0.6272506 -0.0179109 0.0472213 -0.6154436 0.7813489 -0.0921589 0.0439279 0.0314191 0.9981242 -0.0288292 0.0354456 0.8366714 0.1173365 0.5338134 -0.6309866 0.6537189 0.317766 -0.2711685 -0.365143 0.7770419 -0.389093 0.3338909 0.9098984 0.1572093 0.2214982 -0.3135421 -0.3296205 0.7824275 -0.4336315 0.3018629 0.8455901 0.4587731 0.07868 -0.2613696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.074311 0.6929446 0.7127556 -0.0792784 0.1684616 -0.6065311 0.7585001 -0.1685779 0.0797383 0.0291144 0.9962932 -0.0139325  ||| 0.15492 -0.17901 2.22128 0.16044 -0.33323 2.25589 0.29584 -0.42274 2.26083 -0.01954 -0.35074 2.22458 0.15626 -0.39232 2.26186 0.33222 -0.64537 2.3032 -0.00385 -0.35111 2.01106 0.2427 -0.75219 2.09797 0.1162 -0.20973 2.03866 0.20509 -0.78407 2.03699 0.1437 -0.18607 2.07795 0.23948 -0.77009 1.99864 0.15231 -0.22821 2.11212 0.15602 -0.80004 1.96257 0.18073 -0.1622 2.08949 0.2003 -0.80751 2.26168 0.05696 -0.79187 2.23819 0.13016 -0.80945 2.2772 0.21188 -0.83692 1.90479 0.11625 -0.82554 1.88676 
0 0 0 0 0.0454591 0.0324454 0.997111 -0.0514821 0.0106127 0.7795768 0.6260614 -0.0139418 0.0495362 -0.6119351 0.7840713 -0.0911797 0.0461177 0.0296662 0.9981347 -0.0268364 0.0320126 0.837284 0.1182242 0.532873 -0.6361037 0.6466572 0.3191806 -0.2744636 -0.3554752 0.7673942 -0.3993754 0.3538967 0.5477076 0.333116 0.7590724 -0.113398 -0.315295 0.7757013 -0.4419759 0.3217668 0.5441793 0.4485306 0.7026364 -0.0948226 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0765154 0.6983061 0.7077413 -0.0749412 0.1770485 -0.602196 0.7605516 -0.166057 0.083438 0.0270877 0.9961144 -0.0077774  ||| 0.15504 -0.17952 2.22171 0.16045 -0.33324 2.25592 0.29447 -0.42283 2.26172 -0.02132 -0.34848 2.2238 0.15633 -0.39229 2.26185 0.33219 -0.64616 2.30308 -0.00774 -0.3457 2.01074 0.24273 -0.75219 2.09802 0.11632 -0.19754 2.0487 0.20488 -0.78437 2.03738 0.14086 -0.17814 2.06057 0.24012 -0.7706 1.99849 0.17421 -0.18702 2.0503 0.153 -0.8008 1.96228 0.17182 -0.16236 2.08671 0.20164 -0.80469 2.25838 0.05989 -0.7871 2.23415 0.13228 -0.80565 2.2735 0.21201 -0.83757 1.90182 0.11613 -0.82642 1.88291 
0 0 0 0 0.0458041 0.0323743 0.9970965 -0.0515004 0.0106249 0.7802487 0.6252254 -0.0138663 0.049954 -0.6096373 0.7857545 -0.0918518 0.046472 0.0297904 0.9981111 -0.0269659 0.0191589 0.7829849 0.122657 0.6095268 -0.6490305 0.6427844 0.2989499 -0.2760735 -0.2767001 0.6098077 -0.4140007 0.6165833 0.7069561 0.3065805 0.604422 -0.2022259 -0.1211231 0.5959812 -0.5867158 0.5346963 0.7125418 0.3918878 0.561757 -0.1521092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0791515 0.6982191 0.707246 -0.0776415 0.1742205 -0.6011156 0.7625216 -0.1639149 0.0795764 0.0278333 0.9964068 -0.0081507  ||| 0.15514 -0.18023 2.22213 0.16044 -0.33323 2.25593 0.29336 -0.42285 2.26175 -0.02239 -0.34708 2.2232 0.15632 -0.39225 2.26186 0.33223 -0.64616 2.30311 -0.01691 -0.3426 2.01221 0.30055 -0.74373 2.13898 0.11704 -0.19361 2.05078 0.25238 -0.76758 2.07374 0.13744 -0.17355 2.06281 0.29582 -0.7866 2.0624 0.16548 -0.19588 2.06717 0.21888 -0.78959 2.00164 0.16692 -0.15641 2.10077 0.2009 -0.80438 2.25814 0.05964 -0.7865 2.23511 0.13189 -0.80529 2.27373 0.21213 -0.83753 1.90164 0.11599 -0.8262 1.88393 
0 0 0 0 0.0436084 0.0094461 0.9984576 -0.0330392 -0.0053999 0.7777258 0.6283793 -0.0159029 0.0601041 -0.6063184 0.7876146 -0.0918092 0.0442618 0.0199177 0.9986562 -0.0181611 0.0248936 0.8190169 0.1252913 0.559369 0.6433696 -0.6358809 -0.3085085 0.2942 -0.311545 0.7124174 -0.409888 0.4768575 0.5348063 0.3359799 0.768888 -0.099554 -0.2414573 0.7152615 -0.5041299 0.4194666 0.5316902 0.5456038 0.6453856 -0.0556708 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0870653 0.6948607 0.7092628 -0.0808356 0.1750141 -0.6046833 0.7606738 -0.1584415 0.0734021 0.0232683 0.9970228 -0.0040229  ||| 0.15592 -0.18109 2.22212 0.15362 -0.3351 2.26135 0.29191 -0.42306 2.26108 -0.02538 -0.34636 2.22418 0.15236 -0.39303 2.26513 0.3328 -0.64605 2.30279 -0.02247 -0.34252 2.01316 0.2755 -0.7399 2.13604 0.11479 -0.17634 2.0586 0.23084 -0.77221 2.06988 0.13466 -0.16597 2.07183 0.27377 -0.76784 2.04614 0.15203 -0.18622 2.05 0.19838 -0.80294 2.0033 0.17103 -0.15163 2.11787 0.20299 -0.80188 2.25558 0.06185 -0.78515 2.2345 0.13404 -0.80339 2.2723 0.2128 -0.83752 1.89933 0.11609 -0.82642 1.8832 
