0 0 0 0 0.0029238 0.0145991 0.9980977 -0.0598267 -0.0159195 0.7769829 0.6268536 -0.0556648 -0.0186423 0.7437622 -0.6652061 0.0630167 0.0028447 0.009375 0.9993211 -0.0355145 -0.0093809 0.8620952 0.0891871 0.4987479 -0.0389797 0.8577125 -0.1408014 -0.492935 0.4467719 -0.4448523 -0.2715 0.7271789 -0.4541515 0.6829765 0.5265102 -0.2237779 0.4778619 -0.4309549 -0.2829059 0.7112595 -0.1420378 0.8228173 0.54584 -0.0696832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1214865 0.67402 0.7192075 -0.1169557 0.130214 -0.6279622 0.7552709 -0.13518 0.0162634 0.0256282 0.9994761 -0.0112334  ||| 0.15786 -0.18211 2.24193 0.14169 -0.32712 2.27312 0.29765 -0.4219 2.26501 -0.01448 -0.40512 2.2629 0.1399 -0.38724 2.28035 0.33452 -0.64423 2.28146 -0.07459 -0.61065 2.27835 0.2398 -0.74943 2.09761 0.05913 -0.61922 2.05649 0.21053 -0.77516 2.04293 0.09696 -0.63488 2.04315 0.16939 -0.77239 2.04569 0.07154 -0.62682 2.0036 0.16824 -0.80604 1.96808 0.14424 -0.63969 2.03151 0.19466 -0.80359 2.27343 0.05009 -0.79426 2.26859 0.12401 -0.8084 2.29836 0.42459 -0.94001 2.05074 0.12857 -0.82431 1.89737 
0 0 0 0 0.0026187 0.0150167 0.9980313 -0.0608374 -0.0164645 0.7773426 0.6261433 -0.0584123 -0.0187621 0.7425556 -0.6662961 0.06564 0.002615 0.0107473 0.9992387 -0.0374124 -0.0089643 0.8581334 0.0888275 0.5056049 -0.2633451 0.8678219 -0.0887204 -0.4119018 0.4255658 -0.3704864 -0.3254247 0.7587703 -0.1863161 0.5510366 0.7344962 -0.3495144 0.42796 -0.3710377 -0.3323149 0.7541538 -0.0338509 0.7242366 0.6694811 -0.1616495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1197379 0.6737325 0.7182305 -0.1260647 0.1220189 -0.6254405 0.7585219 -0.1363089 0.0100833 0.0241749 0.9994768 -0.0189748  ||| 0.15738 -0.18204 2.24324 0.14233 -0.32717 2.27359 0.29791 -0.42206 2.26493 -0.01421 -0.40463 2.26285 0.1405 -0.38717 2.28093 0.33436 -0.64412 2.28173 -0.08702 -0.5706 2.18748 0.22914 -0.75487 2.07134 0.04493 -0.54177 2.04784 0.20017 -0.78486 2.01187 0.09154 -0.5467 2.03494 0.16029 -0.79363 2.02575 0.06744 -0.55215 1.99144 0.16244 -0.81284 1.92173 0.14343 -0.54558 2.01598 0.19524 -0.80278 2.2777 0.05133 -0.79282 2.27455 0.12485 -0.80731 2.30341 0.42177 -0.93935 2.05114 0.12796 -0.82414 1.89764 
0 0 0 0 0.0038259 0.0131515 0.9978908 -0.0634519 -0.0181237 0.7768379 0.6261985 -0.0637959 -0.0218827 0.7363648 -0.6721818 0.0738906 0.0038423 0.0098366 0.9991022 -0.0410277 -0.0098516 0.8575813 0.0880099 0.5066671 -0.3938041 0.8539851 -0.039117 -0.3377836 0.4274649 -0.3845415 -0.3177684 0.7539395 -0.4142575 0.6025367 0.681681 -0.025522 0.4343396 -0.3815523 -0.3210068 0.7501477 -0.3589515 0.5633208 0.7404215 0.0748297 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1264194 0.6706765 0.716662 -0.1435502 0.1059676 -0.6252341 0.7624932 -0.128286 -0.0101411 0.0182956 0.9994436 -0.0259768  ||| 0.15636 -0.18247 2.24465 0.14302 -0.32747 2.2748 0.2981 -0.42203 2.265 -0.0131 -0.40224 2.26184 0.1414 -0.3873 2.28244 0.33409 -0.64217 2.28116 -0.07807 -0.53629 2.13572 0.23005 -0.75464 2.07112 0.07655 -0.48362 2.03255 0.20051 -0.78491 2.01205 0.09925 -0.47457 2.02504 0.16179 -0.78807 2.02729 0.10944 -0.45935 1.98968 0.16135 -0.81486 1.92555 0.15939 -0.46198 2.01392 0.19868 -0.80161 2.28151 0.05659 -0.79154 2.28401 0.12916 -0.80605 2.30972 0.41913 -0.94026 2.04967 0.12799 -0.8243 1.8977 
0 0 0 0 0.0079301 0.0094777 0.9979332 -0.0630608 -0.0289065 0.776809 0.6251534 -0.0701099 0.0344185 -0.699753 0.7073578 -0.09384 0.0080111 0.0077813 0.9991156 -0.0405361 -0.0059165 0.8566564 0.0893093 0.5080637 -0.4253361 0.8209862 0.0029642 -0.3808702 0.4248792 -0.3805555 -0.3202057 0.7563884 -0.2079664 0.495378 0.8314342 -0.1416606 0.4287645 -0.3793491 -0.3238154 0.7532588 -0.2107383 0.4684129 0.8478112 -0.1318893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1282163 0.669252 0.7169583 -0.1470824 0.1069284 -0.6257641 0.762223 -0.1264981 -0.012567 0.0126513 0.9995121 -0.0256413  ||| 0.15537 -0.18273 2.2462 0.14479 -0.32686 2.27897 0.29835 -0.42142 2.26535 -0.00719 -0.38628 2.25882 0.14359 -0.38675 2.28656 0.33379 -0.64075 2.28332 -0.07163 -0.51514 2.11735 0.23005 -0.75355 2.07331 0.04569 -0.44318 2.0496 0.20042 -0.78483 2.01312 0.10086 -0.40387 2.01815 0.15986 -0.79261 2.02371 0.10926 -0.40572 1.97532 0.15958 -0.80631 1.92632 0.15689 -0.39088 2.01567 0.20392 -0.80287 2.28488 0.0622 -0.79299 2.28803 0.13472 -0.80745 2.31359 0.41835 -0.94138 2.04665 0.12778 -0.82444 1.89808 
0 0 0 0 0.0093195 -0.0079694 0.9963387 -0.0846092 -0.0136267 0.7799826 0.6216702 -0.0704812 0.0236858 -0.6943047 0.7124733 -0.0988015 0.00995 -0.0006166 0.998619 -0.0515809 -0.0219186 0.8677372 0.0869003 0.4888764 -0.5168626 0.7518059 0.0097431 -0.4093239 0.4246471 -0.3711646 -0.3089476 0.7658088 0.8713521 -0.204247 -0.1997699 -0.3988993 0.4307992 -0.3716049 -0.3226035 0.7564713 0.4757344 -0.2439159 0.1105462 0.8378314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0984998 0.6782164 0.7152687 -0.136788 0.1129717 -0.6193996 0.764459 -0.1385067 0.009634 0.005162 0.9993418 -0.0345898  ||| 0.15362 -0.18285 2.24689 0.1396 -0.32421 2.27181 0.29794 -0.42215 2.26455 -0.00468 -0.38286 2.25666 0.14048 -0.38527 2.28227 0.33597 -0.63937 2.27491 -0.09786 -0.48905 2.07756 0.22656 -0.75591 2.07004 0.06067 -0.36694 2.03744 0.1981 -0.78496 2.01422 0.02205 -0.39066 2.03532 0.15392 -0.79553 2.02 0.08481 -0.34963 1.989 0.15677 -0.81958 1.92452 0.08744 -0.33895 2.01022 0.20868 -0.80785 2.29323 0.06403 -0.79539 2.28962 0.13783 -0.81105 2.31796 0.41789 -0.93997 2.04564 0.12737 -0.82418 1.89825 
0 0 0 0 0.0103726 -0.003618 0.9964037 -0.0840182 -0.0119561 0.7573813 0.6483566 -0.0765798 0.0233873 -0.6624935 0.7411519 -0.1060623 0.0107431 0.0003242 0.9984735 -0.0541762 -0.0292704 0.870722 0.0876428 0.4830168 -0.6023911 0.691685 0.1503363 -0.3689115 0.4302792 -0.365261 -0.3106434 0.7648168 0.7712592 -0.292775 -0.4949877 -0.2728173 0.4414823 -0.3641607 -0.3287551 0.7512659 0.3298582 -0.5143817 0.2582232 0.7482819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0889475 0.6782955 0.7179619 -0.1285858 0.1182913 -0.6201453 0.7620319 -0.1439941 0.0207768 0.0047844 0.9991519 -0.0352255  ||| 0.15172 -0.18186 2.24628 0.14213 -0.33954 2.2735 0.29768 -0.4221 2.26466 -0.00373 -0.38201 2.25509 0.14245 -0.39693 2.28325 0.3385 -0.64392 2.27226 -0.05286 -0.4296 2.05891 0.22643 -0.75742 2.06708 0.08283 -0.29982 2.02425 0.19638 -0.78536 2.00926 0.02454 -0.34964 2.02786 0.15734 -0.79171 2.02344 -0.01541 -0.36831 2.01667 0.15859 -0.81406 1.92133 -0.00475 -0.39718 2.02076 0.21085 -0.80855 2.29629 0.0654 -0.79666 2.28943 0.13948 -0.81206 2.3192 0.41823 -0.93978 2.04642 0.12722 -0.82369 1.8984 
0 0 0 0 0.0159995 0.0024151 0.9966704 -0.0799152 -0.0159818 0.759998 0.645099 -0.077427 0.0335343 -0.6680855 0.7343032 -0.1154816 0.0161527 0.0028963 0.9984249 -0.0536498 -0.0338737 0.8720438 0.0861792 0.4805885 0.6645429 -0.6470305 -0.1838886 0.3254523 0.4280549 -0.3773476 -0.3010263 0.7640425 0.2121593 0.376283 0.8894637 -0.149177 0.4410179 -0.3767936 -0.3249873 0.7469358 0.2704642 0.3969896 0.877068 -0.0002875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0882623 0.6748688 0.7214793 -0.1273946 0.1204731 -0.6227413 0.7589245 -0.1473538 0.0242967 0.0051772 0.9990541 -0.0356915  ||| 0.14722 -0.17365 2.2449 0.14629 -0.33749 2.27515 0.29753 -0.42172 2.26529 -0.00121 -0.38361 2.25216 0.14585 -0.3958 2.28455 0.33783 -0.63834 2.27053 -0.04197 -0.39391 2.04696 0.2269 -0.75586 2.06708 0.09734 -0.26607 2.02685 0.19787 -0.7839 2.00971 0.1287 -0.23524 2.0365 0.16014 -0.78873 2.02479 0.14578 -0.24328 2.0057 0.1587 -0.81663 1.91839 0.169 -0.21397 2.04767 0.21285 -0.80861 2.29801 0.0674 -0.79809 2.29021 0.14161 -0.81285 2.3207 0.41771 -0.93991 2.04586 0.1272 -0.82383 1.89837 
0 0 0 0 0.0184762 0.0030219 0.9963583 -0.0831842 -0.011436 0.7618222 0.6432956 -0.0752789 0.0328201 -0.6686278 0.7336037 -0.1169843 0.0186341 0.0032469 0.9982778 -0.0555304 -0.0231569 0.8659729 0.0925481 0.4909069 0.6772938 -0.6029953 -0.2392703 0.3470151 0.4305524 -0.3587474 -0.3231114 0.7625772 0.1939754 0.3425154 0.9159393 -0.078179 0.4301153 -0.3617619 -0.3324778 0.7573557 0.2127416 0.4799995 0.8510802 -0.0019904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0866501 0.6736302 0.7223795 -0.1299304 0.1190877 -0.6229597 0.7582627 -0.1509207 0.0248419 0.0057479 0.9989055 -0.0392118  ||| 0.14436 -0.17233 2.24213 0.14657 -0.33622 2.27402 0.29703 -0.42154 2.26626 -0.00145 -0.38309 2.25124 0.14603 -0.39498 2.28389 0.33878 -0.64551 2.27784 -0.03934 -0.37642 2.04603 0.22833 -0.75483 2.0694 0.0852 -0.23382 2.04408 0.19883 -0.78418 2.01091 0.12395 -0.20827 2.05359 0.15875 -0.79403 2.02022 0.1419 -0.21319 2.01565 0.16264 -0.81035 1.92407 0.168 -0.1808 2.07215 0.21256 -0.80806 2.29962 0.06699 -0.79789 2.29162 0.14126 -0.81246 2.32246 0.41636 -0.93934 2.04648 0.12722 -0.82401 1.89839 
0 0 0 0 0.0241489 0.0001416 0.9960688 -0.0852275 -0.0082993 0.7644052 0.6404356 -0.0738793 0.0376013 -0.681572 0.7202455 -0.1236616 0.0243593 0.0014016 0.9980186 -0.0579952 -0.0283702 0.8668903 0.090794 0.4893393 0.7042468 -0.571354 -0.2396667 0.3466279 0.430789 -0.374059 -0.3127804 0.7593873 0.2701631 0.3375467 0.8964133 -0.0975571 0.4264931 -0.3778019 -0.3173767 0.7580512 0.3198974 0.4276422 0.8376939 0.1142659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0861924 0.6729991 0.7229769 -0.1301828 0.1185028 -0.6240496 0.7574031 -0.1511941 0.0248121 0.0053534 0.9988883 -0.0397235  ||| 0.14328 -0.17272 2.24086 0.14564 -0.33443 2.27247 0.29557 -0.42133 2.26621 0.00464 -0.38791 2.24949 0.14538 -0.39375 2.28269 0.33714 -0.64175 2.27511 -0.04034 -0.3655 2.04575 0.2279 -0.75435 2.06786 0.08409 -0.22305 2.04717 0.19891 -0.78534 2.0106 0.11622 -0.19269 2.07039 0.15975 -0.79085 2.02617 0.14007 -0.19435 2.02846 0.16023 -0.80819 1.92307 0.16216 -0.16933 2.07841 0.21269 -0.80802 2.2997 0.06692 -0.7982 2.29171 0.14131 -0.81255 2.32254 0.4157 -0.93964 2.04605 0.12743 -0.82429 1.8985 
0 0 0 0 0.035758 0.0011068 0.9962412 -0.0788902 -0.0187551 0.765325 0.639008 -0.0747975 -0.0666691 0.7034042 -0.6943804 0.1364314 0.0359662 0.002117 0.9978448 -0.0548422 -0.0190551 0.8614239 0.0909578 0.4993121 0.7373076 -0.5276251 -0.2313837 0.3527759 0.432559 -0.387442 -0.3124611 0.7517642 0.2968982 0.338577 0.8873966 -0.0987132 0.4272752 -0.3912063 -0.3151613 0.7517093 0.3459672 0.4514703 0.8087778 0.1495317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0882712 0.6707337 0.7250364 -0.1290212 0.1184555 -0.6271228 0.7551099 -0.1499812 0.0240527 0.0058431 0.9989721 -0.0379748  ||| 0.14321 -0.1728 2.24092 0.14726 -0.33368 2.27583 0.29495 -0.42095 2.26642 0.01276 -0.39695 2.2457 0.14678 -0.39321 2.2853 0.33441 -0.64162 2.27944 -0.04538 -0.35602 2.04741 0.22828 -0.75355 2.07017 0.07923 -0.21407 2.0523 0.1996 -0.78515 2.01162 0.11176 -0.18565 2.08106 0.16019 -0.79068 2.02574 0.13439 -0.18418 2.04242 0.16217 -0.81295 1.92573 0.15237 -0.15871 2.08854 0.21364 -0.80776 2.30019 0.06748 -0.79902 2.29253 0.14205 -0.8128 2.32322 0.41501 -0.94003 2.04548 0.12756 -0.82393 1.8987 
