0 0 0 0 0.0034491 0.0141855 0.9984357 -0.0539729 -0.0280137 0.7738943 0.6294624 -0.063875 -0.0314315 0.7456481 -0.6616682 0.0722237 0.0037536 0.014553 0.9992916 -0.0345019 -0.0305071 0.8524492 0.0787092 0.5159503 -0.2322657 0.8755914 -0.0986702 -0.4118938 -0.447125 0.8334482 -0.0074965 -0.3246338 -0.5610827 0.6698906 0.4858443 0.0196984 0.8381172 -0.4516294 0.0719642 0.2973411 -0.5676304 0.6661344 0.4836234 0.0130094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.117054 0.6606806 0.7300087 -0.1299496 0.1264516 -0.6376522 0.7461426 -0.1438085 0.0142695 0.0126917 0.999557 -0.0228268  ||| 0.14979 -0.19821 2.27041 0.14313 -0.31684 2.29503 0.29165 -0.40544 2.28203 -0.01112 -0.3926 2.27904 0.1415 -0.37358 2.30118 0.32797 -0.62155 2.28843 -0.09428 -0.59189 2.20471 0.27014 -0.73614 2.14704 0.03711 -0.57204 2.0617 0.25243 -0.72308 2.12458 0.09319 -0.56249 1.99842 0.22307 -0.70966 2.08493 0.10059 -0.5394 1.96388 0.23748 -0.74215 2.04848 0.14517 -0.5521 1.96613 0.19429 -0.76776 2.29986 0.06384 -0.76354 2.29602 0.13048 -0.77413 2.32339 0.21883 -0.81706 1.94927 0.12259 -0.80868 1.93808 
0 0 0 0 0.0091633 0.0175524 0.9984158 -0.0526679 -0.0271158 0.7764301 0.6268669 -0.0588134 -0.0378024 0.7393069 -0.6679107 0.0767569 0.0095757 0.0182158 0.999264 -0.0323714 -0.0451634 0.8516161 0.0749384 0.5168118 -0.2777558 0.8511936 -0.0921086 -0.4357031 -0.4786663 0.8250727 -0.0177862 -0.2996951 -0.1510057 0.4899004 0.8046467 -0.2995638 0.8746453 -0.3887406 0.0744756 0.2798746 -0.1699739 0.4922541 0.7833009 -0.3394621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.121263 0.6639286 0.7265752 -0.1287732 0.1279923 -0.6343455 0.7490948 -0.1417068 0.0129478 0.0164051 0.9995906 -0.0195428  ||| 0.1511 -0.19911 2.27228 0.14708 -0.31664 2.29896 0.29225 -0.40537 2.28735 -0.00786 -0.38946 2.28025 0.14504 -0.37311 2.30492 0.32997 -0.61843 2.28746 -0.10145 -0.58391 2.18813 0.26945 -0.72199 2.13834 0.05288 -0.50861 2.04882 0.24963 -0.7024 2.11524 0.10141 -0.48753 1.99707 0.22317 -0.70459 2.05029 0.09535 -0.4967 1.95782 0.234 -0.73056 2.03785 0.15402 -0.47054 1.97464 0.19466 -0.76687 2.30107 0.06467 -0.76142 2.29757 0.13107 -0.77268 2.32478 0.2176 -0.81655 1.94875 0.12171 -0.80943 1.938 
0 0 0 0 0.0074118 0.0200091 0.9986917 -0.0464711 -0.0415154 0.7759988 0.6260872 -0.0641647 -0.0491969 0.7348592 -0.6716581 0.080231 0.0078241 0.0204474 0.9993831 -0.0274609 -0.0459431 0.8478907 0.0745683 0.5228864 -0.4227982 0.8180339 0.0510273 -0.3865984 -0.508959 0.7766063 0.0302232 -0.3700404 -0.0451629 0.43311 0.8527593 -0.2884053 0.7405474 -0.5742876 0.0191758 0.3484476 -0.0609102 0.4121009 0.8563607 -0.3051378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1281599 0.6662167 0.7225929 -0.1326264 0.1279747 -0.6341253 0.7496912 -0.1395376 0.0076963 0.0175419 0.9996635 -0.0174892  ||| 0.15194 -0.20027 2.27385 0.14853 -0.31692 2.30205 0.29506 -0.40612 2.285 -0.00665 -0.38789 2.27919 0.14622 -0.37338 2.3073 0.3315 -0.61176 2.28502 -0.0586 -0.52387 2.12316 0.26828 -0.70382 2.12914 0.07782 -0.4361 2.02151 0.22872 -0.69665 2.0676 0.1141 -0.41038 1.99043 0.20142 -0.69382 2.02058 0.10874 -0.41733 1.95036 0.21864 -0.74489 1.99869 0.16165 -0.39142 1.98953 0.19468 -0.76748 2.29975 0.06466 -0.76138 2.29761 0.13107 -0.77276 2.32457 0.21646 -0.81549 1.94848 0.1211 -0.80981 1.93806 
0 0 0 0 0.0125883 0.0016521 0.9983019 -0.0568529 -0.0352135 0.7761087 0.6263083 -0.0644466 -0.0507565 0.7326432 -0.6727755 0.0896147 0.0133484 0.0104357 0.9993106 -0.0330351 -0.0751324 0.8520676 0.0629415 0.5141734 -0.4989809 0.7674275 0.0199786 -0.4020869 0.5217417 -0.562464 -0.2239276 0.6010625 0.0780612 0.4128209 0.8847308 -0.2018338 0.5789746 -0.5262445 -0.2141042 0.5848202 0.0712293 0.3860402 0.8963654 -0.2059817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1221573 0.6714643 0.7189752 -0.1314836 0.1281582 -0.6307431 0.7528246 -0.1378178 0.0093511 0.0136576 0.999697 -0.0182188  ||| 0.15148 -0.19819 2.27256 0.14256 -0.31607 2.29839 0.29715 -0.40727 2.28324 -0.00508 -0.3867 2.27549 0.14229 -0.37318 2.30491 0.33436 -0.60502 2.27048 -0.09304 -0.50567 2.0899 0.26218 -0.67335 2.10583 0.07527 -0.37807 2.02525 0.21331 -0.69908 2.01285 0.12082 -0.3391 2.00541 0.17839 -0.68181 2.01845 0.1332 -0.34102 1.9677 0.192 -0.70788 1.93922 0.1634 -0.31242 2.01371 0.19669 -0.77057 2.30013 0.06508 -0.76277 2.29744 0.13217 -0.77497 2.32454 0.21612 -0.81468 1.94884 0.12013 -0.81007 1.93826 
0 0 0 0 0.0178285 -0.0019651 0.9981208 -0.0585932 -0.0284886 0.7714404 0.6326571 -0.0617493 -0.0513765 0.7270169 -0.6781358 0.0945452 0.0184329 0.0056847 0.9991912 -0.0352826 -0.1497629 0.8798384 0.0257235 0.4503263 -0.5778239 0.7064086 0.0990355 -0.3966087 0.5820156 -0.4507086 -0.2464783 0.6303715 0.1668934 0.381517 0.8976663 -0.1441757 0.655743 -0.4370258 -0.3214065 0.5250785 0.1681313 0.4431792 0.8667386 -0.1552038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1160089 0.669181 0.7228051 -0.127638 0.1367584 -0.6316638 0.7493362 -0.1441982 0.0196286 0.0088204 0.9995957 -0.0185837  ||| 0.15168 -0.1982 2.2739 0.14016 -0.31802 2.29582 0.29796 -0.40722 2.28276 -0.0035 -0.38618 2.27267 0.14026 -0.37514 2.30255 0.3408 -0.634 2.22561 -0.07768 -0.45901 2.06418 0.24229 -0.67271 2.06475 0.08572 -0.31026 2.03487 0.21056 -0.66753 1.99387 0.13933 -0.27374 2.02703 0.17343 -0.66108 1.997 0.14525 -0.28069 1.98477 0.19118 -0.68083 1.91914 0.19366 -0.24271 2.05324 0.19785 -0.77305 2.29996 0.06724 -0.76618 2.29461 0.13383 -0.77796 2.32315 0.2143 -0.81934 1.94275 0.1196 -0.81037 1.93795 
0 0 0 0 0.0301105 0.0145766 0.9979243 -0.0550261 -0.0249104 0.7673766 0.6383214 -0.0553029 -0.0638039 0.7208053 -0.6821064 0.1053553 0.0304879 0.0148861 0.9988637 -0.033469 -0.175911 0.8797452 0.0125608 0.4415268 0.6784286 -0.6435939 -0.2185776 0.2788284 0.5884387 -0.397472 -0.2845672 0.6440322 0.2966529 0.3671504 0.8613203 -0.1879495 0.676802 -0.404159 -0.3968342 0.4702309 0.3712119 0.3896851 0.8427468 0.0111797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1155056 0.6686067 0.7241324 -0.1235144 0.1397009 -0.6317141 0.747967 -0.1482101 0.0247169 0.0137673 0.9994422 -0.0177496  ||| 0.15456 -0.20047 2.27777 0.14824 -0.32177 2.29717 0.29691 -0.40666 2.2866 -0.00111 -0.38766 2.26752 0.14639 -0.37833 2.30337 0.34057 -0.63741 2.21317 -0.0218 -0.38422 2.05513 0.23812 -0.66545 2.05243 0.11825 -0.26003 2.03519 0.2115 -0.64596 1.97483 0.15356 -0.22213 2.05197 0.17874 -0.63936 1.98623 0.17865 -0.21591 2.04978 0.19368 -0.65506 1.90361 0.18551 -0.20047 2.07877 0.19815 -0.77405 2.30006 0.06812 -0.76757 2.29345 0.13441 -0.77916 2.32266 0.21429 -0.82163 1.94098 0.11958 -0.81093 1.93779 
0 0 0 0 0.0511549 0.0215342 0.9972091 -0.0499342 -0.0477019 0.7702439 0.6330857 -0.0604264 -0.1171322 0.7668518 -0.6161363 0.1363612 0.0516976 0.0222259 0.9979849 -0.0293174 -0.1831574 0.8426844 -0.007927 0.5062347 0.7391849 -0.5366702 -0.2765177 0.2985444 0.6360157 -0.4487158 -0.2972337 0.552983 0.1541902 0.3456384 0.9241477 -0.0520641 0.655775 -0.430157 -0.2951201 0.5457364 0.1715164 0.5234706 0.8332852 0.0468654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1164576 0.6665614 0.7271148 -0.1159206 0.14087 -0.6347588 0.7450454 -0.1488096 0.028461 0.0206063 0.9992834 -0.014068  ||| 0.15659 -0.20108 2.27964 0.15758 -0.32058 2.30255 0.29764 -0.40636 2.28605 0.01387 -0.41074 2.25448 0.15481 -0.37781 2.30815 0.33793 -0.62477 2.2119 -0.0164 -0.35929 2.0538 0.24454 -0.62782 2.01951 0.10627 -0.21775 2.05574 0.20997 -0.62525 1.95317 0.14585 -0.19706 2.06764 0.17015 -0.61586 1.94811 0.16293 -0.19847 2.03348 0.19517 -0.62859 1.88954 0.1869 -0.16453 2.09859 0.20095 -0.77527 2.30208 0.07028 -0.76997 2.29455 0.13692 -0.78102 2.32408 0.21405 -0.82382 1.93972 0.12016 -0.81162 1.93679 
0 0 0 0 0.0609918 0.0220723 0.997157 -0.0383497 -0.0523186 0.7686709 0.6354594 -0.0509843 -0.1361437 0.773845 -0.6024897 0.140124 0.0613819 0.0210961 0.9976881 -0.0201431 -0.1980073 0.8350362 -0.0209602 0.5129018 0.7689408 -0.5067003 -0.2673929 0.2837006 0.6135595 -0.4280494 -0.3385588 0.5706981 0.1497987 0.3575564 0.9205145 -0.0486499 0.6644885 -0.3940415 -0.3759169 0.5117351 0.2227764 0.4234874 0.8470806 0.2312649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.12408 0.6592391 0.7341488 -0.1050396 0.152064 -0.6439527 0.7363187 -0.1415496 0.031821 0.0154544 0.9993741 6.91E-05  ||| 0.15783 -0.20309 2.28139 0.16215 -0.32105 2.30681 0.29573 -0.40454 2.29067 0.02016 -0.41518 2.25198 0.15935 -0.37831 2.31105 0.33441 -0.61642 2.20962 -0.01473 -0.34649 2.05552 0.24381 -0.62036 2.00838 0.11122 -0.20805 2.05881 0.21018 -0.60584 1.92879 0.14272 -0.18065 2.08857 0.17459 -0.59782 1.94456 0.1691 -0.17301 2.06005 0.19954 -0.60828 1.87954 0.17846 -0.14905 2.11065 0.20807 -0.7755 2.29583 0.07785 -0.77323 2.28753 0.14448 -0.78284 2.31728 0.21418 -0.82405 1.93976 0.1206 -0.81168 1.93645 
0 0 0 0 0.0607787 0.023877 0.9970907 -0.0393174 -0.0543897 0.7691729 0.6345035 -0.0531041 -0.1380997 0.7747955 -0.6004456 0.1417232 0.0612317 0.023336 0.9976338 -0.0208076 -0.2137364 0.8265697 -0.031652 0.5197091 0.7840766 -0.4761996 -0.2899499 0.2727397 0.62775 -0.45244 -0.3248855 0.5437622 0.2682234 0.3415991 0.8978978 -0.0717334 0.6960758 -0.401389 -0.3680963 0.4678361 0.3136837 0.4758953 0.7568098 0.3199455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1229225 0.6592106 0.7340903 -0.1069715 0.1459374 -0.6427706 0.7380375 -0.1443917 0.030309 0.0218757 0.9992912 -0.0044676  ||| 0.15852 -0.20459 2.27937 0.16321 -0.32078 2.30782 0.29477 -0.40435 2.29122 0.0209 -0.41578 2.25214 0.16019 -0.37815 2.31217 0.33327 -0.60989 2.20366 -0.01225 -0.3288 2.05421 0.24673 -0.61006 1.99854 0.10955 -0.1875 2.06438 0.21338 -0.58756 1.91388 0.13829 -0.16857 2.10768 0.17569 -0.57664 1.9215 0.17174 -0.15915 2.07789 0.20298 -0.58759 1.86335 0.17003 -0.13933 2.11125 0.20513 -0.7767 2.29905 0.07466 -0.77429 2.29113 0.14142 -0.78401 2.32064 0.21379 -0.82522 1.93775 0.12115 -0.81157 1.93625 
0 0 0 0 0.0546504 0.0236092 0.9974582 -0.0391544 -0.0661883 0.7689891 0.6328202 -0.061752 -0.1421874 0.7761186 -0.5980369 0.1406222 0.0551182 0.0233687 0.9980007 -0.0202577 -0.2786215 0.8377103 -0.0541589 0.4665602 0.7830083 -0.4522738 -0.3182026 0.2847691 0.6826665 -0.397293 -0.2996572 0.5350984 0.3766146 0.3522175 0.856116 -0.0341999 0.7011728 -0.4059034 -0.37238 0.4526943 0.3914146 0.5159491 0.720655 0.2474822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.1226322 0.6594236 0.7340636 -0.1061714 0.1464997 -0.6426138 0.7380459 -0.1444772 0.0310186 0.0220942 0.9992663 -0.0040802  ||| 0.15889 -0.20507 2.27873 0.16322 -0.32059 2.30833 0.29624 -0.40484 2.28733 0.02195 -0.41605 2.25214 0.16026 -0.37802 2.31269 0.33908 -0.61716 2.15639 -0.01316 -0.32086 2.05464 0.24389 -0.59558 1.98957 0.11693 -0.1658 2.09741 0.21306 -0.57141 1.90553 0.14301 -0.14943 2.13348 0.1776 -0.56028 1.91138 0.1641 -0.14894 2.0881 0.20922 -0.57082 1.86137 0.17626 -0.12637 2.14961 0.20514 -0.77687 2.29935 0.07464 -0.7744 2.29124 0.14142 -0.78416 2.32083 0.21404 -0.82535 1.93764 0.12234 -0.81167 1.93548 
